Code_du_département,Libellé_du_département,Code_de_la_circonscription,Libellé_de_la_circonscription,Inscrits,Abstentions,%_Abs/Ins,Votants,%_Vot/Ins,Blancs_et_nuls,%_BlNuls/Ins,%_BlNuls/Vot,Exprimés,%_Exp/Ins,%_Exp/Vot,Sexe,Nom,Prénom,Nuance,Voix,%_Voix/Ins,%_Voix/Exp
1,AIN,1,1ère circonscription,79066,31537,39.89,47529,60.11,476,0.6,1,47053,59.51,99,F,LEPAGNOT,Maude,EXG,141,0.18,0.3
1,AIN,1,1ère circonscription,79066,31537,39.89,47529,60.11,476,0.6,1,47053,59.51,99,F,GUENARD GERBAUD,Carole,EXG,171,0.22,0.36
1,AIN,1,1ère circonscription,79066,31537,39.89,47529,60.11,476,0.6,1,47053,59.51,99,M,BOILEAU,Sébastien,FG,1520,1.92,3.23
1,AIN,1,1ère circonscription,79066,31537,39.89,47529,60.11,476,0.6,1,47053,59.51,99,M,DEBAT,Jean-François,SOC,18312,23.16,38.92
1,AIN,1,1ère circonscription,79066,31537,39.89,47529,60.11,476,0.6,1,47053,59.51,99,F,ALLOUACHE,Nadia,VEC,1161,1.47,2.47
1,AIN,1,1ère circonscription,79066,31537,39.89,47529,60.11,476,0.6,1,47053,59.51,99,F,VAN DER VOSSEN,Muriel,ECO,226,0.29,0.48
1,AIN,1,1ère circonscription,79066,31537,39.89,47529,60.11,476,0.6,1,47053,59.51,99,M,BRETON,Xavier,UMP,17716,22.41,37.65
1,AIN,1,1ère circonscription,79066,31537,39.89,47529,60.11,476,0.6,1,47053,59.51,99,M,BAUDOUIN,Grégory,DVD,296,0.37,0.63
1,AIN,1,1ère circonscription,79066,31537,39.89,47529,60.11,476,0.6,1,47053,59.51,99,M,FLECHON,Jacques,DVD,220,0.28,0.47
1,AIN,1,1ère circonscription,79066,31537,39.89,47529,60.11,476,0.6,1,47053,59.51,99,M,PERRIN,Clément,FN,7290,9.22,15.49
1,AIN,2,2ème circonscription,86982,34894,40.12,52088,59.88,512,0.59,0.98,51576,59.3,99.02,M,GOUTAGNY,Vincent,EXG,224,0.26,0.43
1,AIN,2,2ème circonscription,86982,34894,40.12,52088,59.88,512,0.59,0.98,51576,59.3,99.02,F,PHILIPPE,Katia,FG,2215,2.55,4.29
1,AIN,2,2ème circonscription,86982,34894,40.12,52088,59.88,512,0.59,0.98,51576,59.3,99.02,M,RAYMOND,Michel,DVG,11900,13.68,23.07
1,AIN,2,2ème circonscription,86982,34894,40.12,52088,59.88,512,0.59,0.98,51576,59.3,99.02,M,VERNAY,Paul,VEC,5213,5.99,10.11
1,AIN,2,2ème circonscription,86982,34894,40.12,52088,59.88,512,0.59,0.98,51576,59.3,99.02,F,DARMEDRU,Claire,ECO,495,0.57,0.96
1,AIN,2,2ème circonscription,86982,34894,40.12,52088,59.88,512,0.59,0.98,51576,59.3,99.02,F,BEGUET,Marie Jeanne,CEN,1418,1.63,2.75
1,AIN,2,2ème circonscription,86982,34894,40.12,52088,59.88,512,0.59,0.98,51576,59.3,99.02,M,DE LA VERPILLIERE,Charles,UMP,19217,22.09,37.26
1,AIN,2,2ème circonscription,86982,34894,40.12,52088,59.88,512,0.59,0.98,51576,59.3,99.02,M,EYRAUD,Olivier,FN,10894,12.52,21.12
1,AIN,3,3ème circonscription,69837,32145,46.03,37692,53.97,469,0.67,1.24,37223,53.3,98.76,M,LAHY,Eric,EXG,160,0.23,0.43
1,AIN,3,3ème circonscription,69837,32145,46.03,37692,53.97,469,0.67,1.24,37223,53.3,98.76,M,THOUMINE,Yves,FG,1622,2.32,4.36
1,AIN,3,3ème circonscription,69837,32145,46.03,37692,53.97,469,0.67,1.24,37223,53.3,98.76,M,FOGNINI,Jean-Marc,SOC,12164,17.42,32.68
1,AIN,3,3ème circonscription,69837,32145,46.03,37692,53.97,469,0.67,1.24,37223,53.3,98.76,F,FRANQUET,Christine,VEC,1810,2.59,4.86
1,AIN,3,3ème circonscription,69837,32145,46.03,37692,53.97,469,0.67,1.24,37223,53.3,98.76,F,VERMEULEN,Sylvie,ECO,379,0.54,1.02
1,AIN,3,3ème circonscription,69837,32145,46.03,37692,53.97,469,0.67,1.24,37223,53.3,98.76,M,BLANC,Etienne,UMP,15465,22.14,41.55
1,AIN,3,3ème circonscription,69837,32145,46.03,37692,53.97,469,0.67,1.24,37223,53.3,98.76,F,ROCHET,Delphine,DVD,582,0.83,1.56
1,AIN,3,3ème circonscription,69837,32145,46.03,37692,53.97,469,0.67,1.24,37223,53.3,98.76,M,NOBLET,Gaëtan,FN,5041,7.22,13.54
1,AIN,4,4ème circonscription,84591,34710,41.03,49881,58.97,651,0.77,1.31,49230,58.2,98.69,M,MORTEL,Jean-François,EXG,192,0.23,0.39
1,AIN,4,4ème circonscription,84591,34710,41.03,49881,58.97,651,0.77,1.31,49230,58.2,98.69,F,DRACOS,Electre,EXG,163,0.19,0.33
1,AIN,4,4ème circonscription,84591,34710,41.03,49881,58.97,651,0.77,1.31,49230,58.2,98.69,M,BLATRIX,Daniel,FG,1560,1.84,3.17
1,AIN,4,4ème circonscription,84591,34710,41.03,49881,58.97,651,0.77,1.31,49230,58.2,98.69,M,LACROIX,Guillaume,RDG,15419,18.23,31.32
1,AIN,4,4ème circonscription,84591,34710,41.03,49881,58.97,651,0.77,1.31,49230,58.2,98.69,M,ZIELINSKI,Nicolas,VEC,1521,1.8,3.09
1,AIN,4,4ème circonscription,84591,34710,41.03,49881,58.97,651,0.77,1.31,49230,58.2,98.69,F,MAYER,Laurence,ECO,300,0.35,0.61
1,AIN,4,4ème circonscription,84591,34710,41.03,49881,58.97,651,0.77,1.31,49230,58.2,98.69,M,VOISIN,Michel,UMP,20050,23.7,40.73
1,AIN,4,4ème circonscription,84591,34710,41.03,49881,58.97,651,0.77,1.31,49230,58.2,98.69,F,VIANES,Michèle,DVD,635,0.75,1.29
1,AIN,4,4ème circonscription,84591,34710,41.03,49881,58.97,651,0.77,1.31,49230,58.2,98.69,F,MOSSIRE,Corinne,FN,9390,11.1,19.07
1,AIN,5,5ème circonscription,73718,31568,42.82,42150,57.18,557,0.76,1.32,41593,56.42,98.68,M,BOULME,Jean-Michel,EXG,222,0.3,0.53
1,AIN,5,5ème circonscription,73718,31568,42.82,42150,57.18,557,0.76,1.32,41593,56.42,98.68,M,LARGERON,Guy,EXG,165,0.22,0.4
1,AIN,5,5ème circonscription,73718,31568,42.82,42150,57.18,557,0.76,1.32,41593,56.42,98.68,M,CERESERO-LANES,Christophe,EXG,184,0.25,0.44
1,AIN,5,5ème circonscription,73718,31568,42.82,42150,57.18,557,0.76,1.32,41593,56.42,98.68,F,FERRI,Mylène,FG,3046,4.13,7.32
1,AIN,5,5ème circonscription,73718,31568,42.82,42150,57.18,557,0.76,1.32,41593,56.42,98.68,F,EXPOSITO,Josiane,SOC,11857,16.08,28.51
1,AIN,5,5ème circonscription,73718,31568,42.82,42150,57.18,557,0.76,1.32,41593,56.42,98.68,M,FAVRE,Bernard,ECO,232,0.31,0.56
1,AIN,5,5ème circonscription,73718,31568,42.82,42150,57.18,557,0.76,1.32,41593,56.42,98.68,M,ROYER,Patrick,ECO,301,0.41,0.72
1,AIN,5,5ème circonscription,73718,31568,42.82,42150,57.18,557,0.76,1.32,41593,56.42,98.68,M,GALIENNE,Jean,ECO,446,0.61,1.07
