Libellé_de_la_nuance;Nuance;Sensibilité_politique
Extrême gauche ;EXG;extrême-gauche
Parti communiste français;COM;extrême-gauche
Front de gauche ;FG;extrême-gauche
La France Insoumise;FI;extrême-gauche
Socialiste ;SOC;gauche
Radical de Gauche ;RDG;gauche
Divers gauche ;DVG;gauche
Europe-Ecologie-Les Verts ;VEC;gauche
Ecologistes;ECO;gauche
Régionaliste ;REG;nc
La République En Marche;REM;centre
Modem;MDM;centre
Le Centre pour la France ;CEN;centre
Alliance centriste ;ALLI;centre
Divers Centre;DVC;centre
Parti radical ;PRV;centre
Union des Démocrates et des Indépendants;UDI;centre
Nouveau Centre ;NCE;centre
Union pour un Mouvement Populaire ;UMP;droite
Les Républicains;LR;droite
Divers droite ;DVD;droite
Droite Souverainiste;DSV;extrême-droite
Reconquête !;REC;extrême-droite
Debout la France;DLF;extrême-droite
Front National ;FN;extrême-droite
Extrême droite ;EXD;extrême-droite
Autre;AUT;nc
